20
Albania,0,181737,32637,444914,363969,26359,49820,926995,982799,71682,84338,197258,648121,371950,780342,380583,439108,764246,855351,353137
Austria,173494,0,266243,881093,168503,119144,93817,686206,935422,418993,26806,824706,261004,408128,6787,587431,697292,299955,314474,74206
Belgium,255438,459767,0,323101,736662,528767,393864,983335,122910,692608,60799,335801,185586,483035,993067,229645,884345,132595,801204,369797
Bosnia and Herzegovina,58888,941368,857027,0,71438,120243,238076,37650,113453,669389,331861,393262,511638,469003,726710,930328,243327,894130,774787,263330
Cyprus,440128,234472,213190,271042,0,68768,383463,770575,130691,999498,145084,401513,157813,11051,76585,796898,232017,274889,734289,453152
Czech Republic,908743,761324,625681,621072,337020,0,960800,900619,730527,924973,70889,165271,610111,906445,377104,426222,737040,146133,587794,827922
Estonia,563107,824434,123694,23812,196006,559804,0,174654,804408,480822,169154,787945,844418,348333,742938,61469,298211,863738,630074,456550
Finland,62397,59172,225568,725255,212697,755234,596015,0,436756,963467,819367,255418,19808,875176,34616,968782,575587,673070,892852,608020
Germany,486616,238389,172511,410074,157481,242812,46485,724799,0,714000,19754,434982,803379,590103,995935,766954,162608,541430,34600,475684
Greece,401217,180611,224634,909328,824744,73808,130668,844075,947389,0,343320,284453,748313,381510,201482,423675,59790,579949,680601,313544
Italy,417203,374036,4119,733861,424033,993113,664116,784391,372567,850421,0,95591,526083,557214,913672,909706,94630,606761,640592,395633
Lithuania,363013,873418,902065,995967,460452,784423,128166,55205,819391,690862,279904,0,878626,479007,287265,12062,91991,117238,968490,545381
Moldova,248783,164676,231916,480355,850197,514919,564443,764173,292564,206746,877292,175817,0,377851,704568,992247,957097,285415,975125,101323
Netherlands,22983,565559,561896,453411,997352,544738,110486,221991,452512,32826,334387,376997,198555,0,789213,12130,475659,789494,576794,745806
Romania,586863,929313,325867,531756,297016,364626,863030,563938,919961,998712,163025,788066,427593,988268,0,84975,664086,206678,358341,107724
Russia,776250,16842,579133,127785,699791,653045,384724,5236,261046,192922,748941,698984,223068,425859,848346,0,924823,333047,813014,851975
Spain,797299,771409,456161,496588,744029,599275,379564,91967,961687,133397,151968,980716,777228,912285,613306,388310,0,62440,689814,692810
Sweden,742913,371996,500713,31830,310688,547921,728682,596942,904767,331224,191755,28909,855339,559048,839386,988466,493857,0,859211,340175
Ukraine,883761,815236,892568,494225,848535,824503,528251,370173,323003,977699,493644,1105490,793442,524022,371086,618373,418306,673456,0,174609
United Kingdom,339129,425295,158889,940544,110294,564988,177429,422646,443923,28548,26223,929893,815476,252469,405640,897371,688845,343686,867446,0
