10
Albania,0,181737,32637,444914,363969,26359,49820,926995,982799,71682,84338,197258,648121,371950,780342,380583,439108,764246,855351,353137
Austria,173494,0,266243,881093,168503,119144,93817,686206,935422,418993,26806,824706,261004,408128,6787,587431,697292,299955,314474,74206
Belgium,255438,459767,0,323101,736662,528767,393864,983335,122910,692608,60799,335801,185586,483035,993067,229645,884345,132595,801204,369797
Bosnia and Herzegovina,58888,941368,857027,0,71438,120243,238076,37650,113453,669389,331861,393262,511638,469003,726710,930328,243327,894130,774787,263330
Cyprus,440128,234472,213190,271042,0,68768,383463,770575,130691,999498,145084,401513,157813,11051,76585,796898,232017,274889,734289,453152
Czech Republic,908743,761324,625681,621072,337020,0,960800,900619,730527,924973,70889,165271,610111,906445,377104,426222,737040,146133,587794,827922
Estonia,563107,824434,123694,23812,196006,559804,0,174654,804408,480822,169154,787945,844418,348333,742938,61469,298211,863738,630074,456550
Finland,62397,59172,225568,725255,212697,755234,596015,0,436756,963467,819367,255418,19808,875176,34616,968782,575587,673070,892852,608020
Germany,486616,238389,172511,410074,157481,242812,46485,724799,0,714000,19754,434982,803379,590103,995935,766954,162608,541430,34600,475684
Greece,401217,180611,224634,909328,824744,73808,130668,844075,947389,0,343320,284453,748313,381510,201482,423675,59790,579949,680601,313544
