11
Manchester City,0:4,0:1,4:1,3:4,4:1,3:2,2:0,2:2,1:0,0:1
Manchester United,0:3,0:3,1:0,4:4,0:0,1:2,3:0,1:3,4:0,4:0
Middlesbrough,0:2,1:1,0:1,3:2,4:2,2:4,2:0,0:2,3:1,4:4
Southampton,0:3,0:4,1:4,0:0,1:3,0:3,1:1,4:0,1:1,0:2
Stoke City,1:1,3:4,4:4,2:0,3:2,1:1,1:1,0:4,0:2,4:3
Sunderland,4:2,0:4,2:0,2:4,4:0,3:1,4:3,3:0,1:3,0:1
Swansea City,3:2,1:2,0:1,0:3,2:4,1:4,4:4,3:2,0:3,0:0
Tottenham Hotspur,4:0,0:2,1:0,3:3,1:4,0:4,1:0,0:2,2:4,0:3
Watford,2:1,4:3,1:4,3:1,1:3,2:4,3:4,0:3,2:4,2:0
West Bromwich Albion,3:4,2:3,4:3,0:4,1:2,3:1,0:3,4:4,4:2,0:2
West Ham United,0:0,2:3,0:1,3:4,4:0,4:1,2:2,2:2,1:0,3:4
